id,start_date,start_time,_type,end_date,end_time,primary_organizer_id,primary_organizer.name,name,summary,primary_venue.name,primary_venue.address.longitude,primary_venue.address.latitude,primary_venue.address.localized_address_display
160710368037,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"PMP Certification Training in Indianapolis, IN",PMP Certification Training (Tuesday - Friday),Indianapolis,-86.1586119,39.7696748,"Business center/Hotel, Indianapolis, IN 46209"
165872397807,2022-05-25,09:00,destination_event,2022-05-25,17:00,33691800179,IcertPlanner LLC,"PMI-ACP Certification Training in Indianapolis, in",PMI-ACP (Agile Certified Practitioner) Certification course from PMI is conducted by experienced Agile expert instructors,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
173389431457,2022-05-24,09:00,destination_event,2022-05-24,17:00,34716887913,,"PMP Certification 4 Days Training in Indianapolis, IN",PMP Certification 4 Days Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Center, Indianapolis, IN, IN 46209"
167021163797,2022-06-03,11:00,destination_event,2022-06-03,14:00,30068395660,JobsOffice.org,#StartupMoves Virtual Job Fair / Career Expo #Startup #Founder#Indianapolis,Attend World's Largest Virtual Job Expo / Career Fair #Startup #Founder #Indianapolis at https://wertual.tao.ai/pod/startupmoves/jobfair,Indianapolis ,-86.158068,39.768403,"Virtual Event Only, Indianapolis , IN 46204"
169261268009,2022-05-27,09:00,destination_event,2022-05-27,17:00,33139519085,Reform Skills Inc,"Conflict Management Training In Muncie, IN",Conflict Management Training ( 1 day course ),Muncie,-86.1087848,39.9169508,"Regus Business Centre/Hotel, Muncie, IN 47302"
177855068297,2022-05-27,09:00,destination_event,2022-05-27,17:00,34125891697,Knowledge Torch,"Business Case Writing 1 Day Training in Indianapolis, in",Business Case Writing 1 Day Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Center, Indianapolis, IN, IN 46209"
179892833307,2022-05-27,09:00,destination_event,2022-05-27,17:00,18449909606,Educera INC,"Project Management Techniques Classroom  Training in Indianapolis, IN",Welcome to Educera! We thank you for visiting Educera Project Management Techniques Training training page.,Regus Business Centre,-86.1087848,39.9169508,"Regus Business Centre, Indianapolis, IN, IN 46077"
166044745303,2022-05-24,09:00,destination_event,2022-05-24,17:00,34125891697,Knowledge Torch,"PMP Certification Training in Indianapolis, IN",PMP 4 Days Certification Training,"Indianapolis, IN",-86.160095,39.769656,"Business Center, Indianapolis, IN, IN 46209"
169453081729,2022-05-24,09:00,destination_event,2022-05-24,17:00,33139519085,Reform Skills Inc,"Big Data and Hadoop Developer Training In Indianapolis, IN",Big Data and Hadoop Developer Certification Training ( 4 Day Training ),Indianapolis,-86.1087848,39.9169508,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
188096249947,2022-05-24,09:00,destination_event,2022-05-24,17:00,33139519085,Reform Skills Inc,"Tableau Certification Training in Bloomington, IN",Tableau Certification Training (Tuesday – Friday),Bloomington,-86.159345,39.7702698,"regus Bussiness Centre/Hotel, Bloomington, IN 47401"
161859541245,2022-05-26,09:00,destination_event,2022-05-26,17:00,33692434589,Up Skills,"ITIL Foundation Certification Training in Indianapolis, IN",ITIL 2 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
161439675415,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"CAPM Certification Training in Indianapolis, in",CAPM 4 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
174491086537,2022-05-24,09:00,destination_event,2022-05-24,17:00,26924439953,Certification-Guide Inc,"Project Management Professional certification training in Indianapolis, IN","4 days PMP training from Certification Guide is a unique, power packed, blended mode, career-ready package and one of a kind in the industry","Indianapolis, IN",-86.159345,39.7702698,"Business Hotel / Regus Business Centre, Indianapolis, IN 46204"
162239345249,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"Lean Six Sigma Black Belt Certification Training in Indianapolis, IN",Lean Six Sigma Black Belt 4 Days Certification Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
166048659009,2022-05-24,09:00,destination_event,2022-05-24,17:00,33139519085,Reform Skills Inc,"DevOps Certification Training In Indianapolis, IN",DevOps Certification Training (Tuesday – Friday),Indianapolis,-86.1087848,39.9169508,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
164125005309,2022-05-26,09:00,destination_event,2022-05-26,17:00,33692434589,Up Skills,"CSM Certification Training in Indianapolis, IN",Certified Scrum Master® (CSM)   Certification 2 Days Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
167413495271,2022-05-24,09:00,destination_event,2022-05-24,17:00,34125891697,Knowledge Torch,"Lean Six Sigma Black Belt 4 Days Training in Indianapolis, IN",Lean Six Sigma Black Belt Certification 4 Days Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Center, Indianapolis, IN, IN 46209"
165747197329,2022-05-24,09:00,destination_event,2022-05-24,17:00,33692434589,Up Skills,"Big Data And Hadoop Training in Indianapolis, in",Big Data And Hadoop Certification 4 Days Training,"Indianapolis, IN",-86.1586119,39.7696748,"Business Center\Hotel, Indianapolis, IN, IN 46209"
168252926031,2022-05-26,09:00,destination_event,2022-05-26,17:00,33139519085,Reform Skills Inc,"CSM Certification Training In Indianapolis, IN",Certified ScrumMaster (CSM) - Become an exceptional Scrum Master with real-time Scrum activities and simulations ( 2-day  Training ),Indianapolis,-86.1087848,39.9169508,"Regus Business Centre/Hotel, Indianapolis, IN 46077"
170902171997,2022-05-27,09:00,destination_event,2022-05-27,17:00,34125891697,Knowledge Torch,"Conflict Management 1 Day Certification Training in Indianapolis, in",Conflict Management 1 Day Certification Training,"Indianapolis, IN",-86.159345,39.7702698,"Regus Business Center, Indianapolis, IN, IN 46209"
