,restaurant_name,restaurant_phone,restaurant_website,hours,price_range,price_range_num,restaurant_id,cuisines,menus,last_updated,address.city,address.state,address.postal_code,address.street,address.formatted,geo.lat,geo.lon
0,McDonald's,,http://www.mcdonalds.com,,,0,3977744186178615,"['American', 'Burgers']",[],2021-01-05T07:29:00.907Z,INDIANAPOLIS,IN,46202,702 Barnhill Dr,"702 Barnhill Dr INDIANAPOLIS, IN 46202",39.777441,-86.178615
1,McDonald's,,http://www.mcdonalds.com,,,0,3978904786156937,"['American', 'Burgers']",[],2021-01-05T07:29:00.947Z,Indianapolis,IN,46202,1611 N Meridian St,"1611 N Meridian St Indianapolis, IN 46202",39.789047,-86.156937
2,Delhi Palace indian Restaurent,(317) 955-1700,http:///in/indianapolis/664957-delhi-palace/,,,0,3977954786172794,[''],[],2021-01-05T07:28:31.227Z,Indianapolis,IN,46202,901B Indiana Ave,"901B Indiana Ave Indianapolis, IN 46202",39.779547,-86.172794
3,Shoefly Public House,(317) 283-5007,http:///in/indianapolis/657874-shoefly-public-house/,,,0,3979751686155106,[''],[],2021-01-05T07:28:31.244Z,Indianapolis,IN,46202,122 East 22nd Street,"122 East 22nd Street Indianapolis, IN 46202",39.797516,-86.155106
4,Starbucks,(317) 686-1183,http:///in/indianapolis/652213-starbucks/,,,0,3978670986161545,[''],[],2021-01-05T07:28:31.956Z,Indianapolis,IN,46202,1420 North Capitol Avenue,"1420 North Capitol Avenue Indianapolis, IN 46202",39.786709,-86.161545
5,Livery,(317) 383-0330,http:///in/indianapolis/652180-livery/,,,0,3977665386145477,[''],[],2021-01-05T07:28:32.047Z,Indianapolis,IN,46202,720 North College Avenue,"720 North College Avenue Indianapolis, IN 46202",39.776653,-86.145477
6,Cafe Soleil,(317) 880-0000,http:///in/indianapolis/642361-cafe-soleil/,,,0,3977793986184616,[''],[],2021-01-05T07:28:32.290Z,Indianapolis,IN,46202,720 Eskenazi Avenue,"720 Eskenazi Avenue Indianapolis, IN 46202",39.777939,-86.184616
7,Old Gold Barbecue,(317) 764-3443,http:///in/indianapolis/642330-old-gold-barbecue/,,,0,3976417986146118,[''],[],2021-01-05T07:28:32.488Z,Indianapolis,IN,46202,140 S College Ave,"140 S College Ave Indianapolis, IN 46202",39.764179,-86.146118
8,Vida,(317) 420-2323,http:///in/indianapolis/642327-vida/,,,0,3977090186147057,[''],[],2021-01-05T07:28:32.517Z,Indianapolis,IN,46202,601 E New York St,"601 E New York St Indianapolis, IN 46202",39.770901,-86.147057
9,Tinker Coffee,(317) 438-5728,http:///in/indianapolis/642235-tinker-coffee/,,,0,3978839586181015,[''],[],2021-01-05T07:28:32.971Z,Indianapolis,IN,46202,1125 West 16th Street,"1125 West 16th Street Indianapolis, IN 46202",39.788395,-86.181015
